,CLLI,State,lat,lng,nearest_tx_line_m,nearest_tx_line_ft,line_name,line_from_sub,line_to_sub,line_id,line_type,owner,status,voltage_kv,volt_class,voltage_basis,attrs_inferred,nearest_100kv_plus_m,kv_100plus,line_name_100plus,line_id_100plus,owner_100plus,source
35,CNTNGAXA,GA,34.23610953,-84.49065499,513.3,1684,,UNKNOWN111132,UNKNOWN172553,174802,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,513.3,115,,174802,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
36,CECLOHXA,OH,41.21814565,-84.60212589,801.9,2631,TAP173568,UNKNOWN156481,TAP173568,173825,AC; OVERHEAD,OHIO POWER CO,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,9538.9,138,SOUTH HICKSVILLE - LOCKWOOD RD,146106,OHIO POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
37,CNVLIAXO,IA,40.7322669,-92.87611867,1664.1,5460,CENTERVILLE,CENTERVILLE,NOT AVAILABLE,123853,OVERHEAD,NOT AVAILABLE,NOT AVAILABLE,69,UNDER 100,numeric,Y,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
38,CNVLGAXA,GA,32.62349859,-83.6879991,181.9,597,TAP143049 - TAP169139,TAP143049,TAP169139,170769,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,181.9,115,TAP143049 - TAP169139,170769,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
39,CHRDOHXA,OH,41.58128454,-81.20213285,1079.9,3543,TAP148482,UNKNOWN112912,TAP148482,113231,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,138,100-161,numeric,Y,1079.9,138,TAP148482,113231,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
40,CHRTIAXC,IA,41.01624911,-93.30642589,416.4,1366,LUCAS CO,LUCAS CO,UNKNOWN132644,160856,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,3672.9,161,LUCAS CO - OTTUMWA GENERATION STATION,106824,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
41,CHWOGAXA,GA,34.76833751,-84.76820927,1262,4140,TAP176873,UNKNOWN109911,TAP176873,179176,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,1262,115,TAP176873,179176,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
42,CHTHOKXD,OK,35.47096122,-95.52363062,1393.1,4571,,UNKNOWN119169,UNKNOWN119170,143858,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,3737.9,138,,104741,SOUTHWESTERN POWER ADMINISTRATION,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
43,CHGVNCXA,NC,35.55692203,-80.59588229,224.8,738,,UNKNOWN114688,UNKNOWN114689,150814,AC; OVERHEAD,"DUKE ENERGY CAROLINAS, LLC",IN SERVICE,100,100-161,numeric,Y,224.8,100,,150814,"DUKE ENERGY CAROLINAS, LLC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
44,CLRDIAXT,IA,40.74054717,-95.03873151,1496.9,4911,,UNKNOWN131420,UNKNOWN168198,169418,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,69,UNDER 100,numeric,Y,2248.6,161,,139394,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
