site_id,lat,lng,name,address,state,county,group,notes,city,land_ownership,asset_type,primary_use,rack_count
TRINGAXA,34.54083387,-85.31313762,WNS1588,207 Allgood Street,GA,,Other,,Trion,Owned,Building,Central Office,21
BRAROKXB,36.0575717899999,-95.8690106199999,WNS2371,7200 S Mingo Rd,OK,,Other,,Tulsa,Owned,Building,Central Office,226
TWBGOHIR,41.3112491199999,-81.4423444499999,,2684 East Aurora Road,OH,,Interesting,,Twinsburg,Owned,Building,Central Office,
TWBGOHXA,41.31113087,-81.44232343,,2684 Route 82,OH,,Interesting,,Twinsburg,TBD,Building,Central Office,99
VNBGKYXA,38.5941079999999,-83.321195,WNS1806,403 Fairlane Dr.,KY,,Other,,Vanceburg,Owned,Building,Central Office,44
VIANOK05,35.49846823,-94.9714586,,109 Blackstone St,OK,,Other,,Vian,Owned,Building,Central Office,13
VILNARXA,35.0831462599999,-92.2113457699999,,1078 Main Street,AR,,Other,,Vilonia,Owned,Building,Central Office,2
WGNROKXD,35.9589769999999,-95.3675769999999,WNS2375,Rear Of 812 E. Cherokee,OK,,Other,,Wagoner,Owned,Building,Central Office,38
WASHIAXO,41.3001165299999,-91.6896805899999,WNS1674,217 East 2nd Street,IA,,Other,,Washington,Owned,Building,Central Office,33
WFRKARXA,35.9236825699999,-94.1893365899999,WNS1411,265 Wheeler Street,AR,,Other,,West Fork,Owned,Building,Central Office,19
WLBGIAXO,41.66044645,-92.00825998,WNS1676,105 West Welsh,IA,,Other,,Williamsburg,Owned,Building,Central Office,28
WNDRGAXA,33.99464785,-83.72118785,WNS1594,74 Woodlawn Avenue,GA,,Interesting,,Winder,Owned,Building,Central Office,119
ASHTOHXA,41.86554916,-80.78344219,WNS2238,4616 Park Avenue,OH,,Interesting,,WYMAN,Owned,Building,Central Office,125
ZNTNKYXA,38.0672,-85.66875,WNS1811,135 Windy Hill Spur,KY,,Other,,Zoneton,Owned,Building,Central Office,54
